Country,Local,AUD,Date
Australia,7.45,7.45,1/07/2023
Britain,4.19,8.05,1/07/2023
Japan,450.0,4.52,1/07/2023
New Zealand,8.1,6.5,1/07/2023
United States,5.58,8.5,1/07/2023
France,5.3,8.71,
